# y+ ()                 
# Time                  	patch                   	min                     	max                     	average                 
1877.5                  	Bottom	1.2240509073485637e+02	1.5811893763286071e+02	1.3913865537459819e+02
1877.5                  	circle	1.7357183853458093e+01	6.6448128296564633e+01	4.4655002821154042e+01
1878                    	Top	1.2395693973990207e+02	1.5975978263876542e+02	1.3793709145227146e+02
1878                    	Bottom	1.2240684457778497e+02	1.5811700724933687e+02	1.3914306758357850e+02
1878                    	circle	1.7808497534277791e+01	6.6488448300180281e+01	4.4732126040734023e+01
1878.5                  	Top	1.2395500458696344e+02	1.5975783864957856e+02	1.3793305012600015e+02
1878.5                  	Bottom	1.2240963359664497e+02	1.5811434840667474e+02	1.3914722437287031e+02
1878.5                  	circle	1.7409406181333463e+01	6.6499215046733738e+01	4.4765494605980834e+01
1879                    	Top	1.2395168515081137e+02	1.5975953900273882e+02	1.3793137633468496e+02
1879                    	Bottom	1.2241227013749183e+02	1.5811218010497669e+02	1.3914932676337440e+02
1879                    	circle	1.6286760041699509e+01	6.6474111219499392e+01	4.4737566948774010e+01
1879.5                  	Top	1.2394865823616281e+02	1.5976388306185672e+02	1.3793290742869249e+02
1879.5                  	Bottom	1.2241327026545069e+02	1.5811125141794804e+02	1.3914827582888762e+02
1879.5                  	circle	1.4851695013795766e+01	6.6424609866818486e+01	4.4657205405899703e+01
1880                    	Top	1.2394716942671305e+02	1.5976897606153591e+02	1.3793685107693744e+02
1880                    	Bottom	1.2241232526860468e+02	1.5811221263963645e+02	1.3914460007505082e+02
1880                    	circle	1.3772873009018740e+01	6.6374018651388241e+01	4.4561878481104721e+01
1880.5                  	Top	1.2394780463445906e+02	1.5977256668456411e+02	1.3794128889086306e+02
1880.5                  	Bottom	1.2241014738331985e+02	1.5811482477836347e+02	1.3914008454995439e+02
1880.5                  	circle	1.3620219519917985e+01	6.6345943914631135e+01	4.4499845447770660e+01
1881                    	Top	1.2395052451354313e+02	1.5977264696805568e+02	1.3794441210676260e+02
1881                    	Bottom	1.2240713050954662e+02	1.5811731693099989e+02	1.3913659729649586e+02
1881                    	circle	1.4528740264466334e+01	6.6353010205816105e+01	4.4499162101940058e+01
1881.5                  	Top	1.2395393166000649e+02	1.5976964536175493e+02	1.3794469133722936e+02
1881.5                  	Bottom	1.2240508707811350e+02	1.5811895824397462e+02	1.3913596061006399e+02
1881.5                  	circle	1.6001825919433557e+01	6.6391456175526500e+01	4.4557848245816487e+01
1882                    	Top	1.2395640020308468e+02	1.5976473874844424e+02	1.3794192243761287e+02
1882                    	Bottom	1.2240500283124811e+02	1.5811902654843121e+02	1.3913830923707556e+02
1882                    	circle	1.7272288238097708e+01	6.6443465863188749e+01	4.4646670024390318e+01
1882.5                  	Top	1.2395699817320363e+02	1.5976012940846510e+02	1.3793752056478763e+02
1882.5                  	Bottom	1.2240662256575726e+02	1.5811722939646816e+02	1.3914264360784088e+02
1882.5                  	circle	1.7803379335694924e+01	6.6485735839490886e+01	4.4726396243826102e+01
1883                    	Top	1.2395526714311254e+02	1.5975787007459118e+02	1.3793335913435311e+02
1883                    	Bottom	1.2240933672687542e+02	1.5811455945233038e+02	1.3914688765086763e+02
1883                    	circle	1.7478722179419957e+01	6.6499671465446141e+01	4.4764867092351942e+01
1883.5                  	Top	1.2395199954299464e+02	1.5975924536472135e+02	1.3793139477857267e+02
1883.5                  	Bottom	1.2241207842973142e+02	1.5811234085655096e+02	1.3914925691866273e+02
1883.5                  	circle	1.6411926901484009e+01	6.6477746349934975e+01	4.4742621259788429e+01
1884                    	Top	1.2394889138280926e+02	1.5976342527970772e+02	1.3793264397893094e+02
1884                    	Bottom	1.2241327446366621e+02	1.5811127360989866e+02	1.3914850904370857e+02
1884                    	circle	1.4979691480508803e+01	6.6429625934761248e+01	4.4666046587454510e+01
1884.5                  	Top	1.2394723233963893e+02	1.5976853290259430e+02	1.3793643931039205e+02
1884.5                  	Bottom	1.2241248333548302e+02	1.5811205032830622e+02	1.3914501305453678e+02
1884.5                  	circle	1.3840698065915854e+01	6.6378057213393703e+01	4.4569933562505568e+01
1885                    	Top	1.2394764101544749e+02	1.5977236933361041e+02	1.3794090118408590e+02
1885                    	Bottom	1.2241039928385678e+02	1.5811456049362249e+02	1.3914048725642456e+02
1885                    	circle	1.3586961414394970e+01	6.6347139291337243e+01	4.4503214531752334e+01
1885.5                  	Top	1.2395021309202276e+02	1.5977279365638373e+02	1.3794421831853893e+02
1885.5                  	Bottom	1.2240740727150936e+02	1.5811712025788702e+02	1.3913682270526823e+02
1885.5                  	circle	1.4409592466619520e+01	6.6350864005828612e+01	4.4496486846676525e+01
1886                    	Top	1.2395364135818633e+02	1.5977004036826838e+02	1.3794482840521994e+02
1886                    	Bottom	1.2240517940097862e+02	1.5811884356179579e+02	1.3913589542060024e+02
1886                    	circle	1.5863132376287904e+01	6.6386957544435063e+01	4.4550568107591289e+01
1886.5                  	Top	1.2395624460945675e+02	1.5976521313955695e+02	1.3794227326643571e+02
1886.5                  	Bottom	1.2240493190397774e+02	1.5811910237304167e+02	1.3913798151697890e+02
1886.5                  	circle	1.7180690742568171e+01	6.6438715417809661e+01	4.4638252569686614e+01
1887                    	Top	1.2395704309191770e+02	1.5976048447329626e+02	1.3793795234083279e+02
1887                    	Bottom	1.2240641390363292e+02	1.5811745346417851e+02	1.3914221411692918e+02
1887                    	circle	1.7790793086427428e+01	6.6482789852791527e+01	4.4720312741739050e+01
1887.5                  	Top	1.2395552712922752e+02	1.5975793980502635e+02	1.3793369870829520e+02
1887.5                  	Bottom	1.2240906387917342e+02	1.5811480692544436e+02	1.3914655010500479e+02
1887.5                  	circle	1.7541721971601277e+01	6.6499817914425506e+01	4.4763692707532918e+01
1888                    	Top	1.2395231402093843e+02	1.5975897715469935e+02	1.3793144141296975e+02
1888                    	Bottom	1.2241187462055980e+02	1.5811251560937964e+02	1.3914916101583913e+02
1888                    	circle	1.6532911446017657e+01	6.6481150691780599e+01	4.4747199911932185e+01
1888.5                  	Top	1.2394913297393019e+02	1.5976297113301050e+02	1.3793240071540649e+02
1888.5                  	Bottom	1.2241324954004511e+02	1.5811129877225912e+02	1.3914870908221585e+02
1888.5                  	circle	1.5110192665904934e+01	6.6434605718594099e+01	4.4674708388669565e+01
1889                    	Top	1.2394729998586044e+02	1.5976807482488286e+02	1.3793602659786751e+02
1889                    	Bottom	1.2241261007790548e+02	1.5811187941900459e+02	1.3914540084400531e+02
1889                    	circle	1.3916293967080859e+01	6.6382279410328820e+01	4.4578252419711063e+01
1889.5                  	Top	1.2394750776682709e+02	1.5977214817354408e+02	1.3794051437338038e+02
1889.5                  	Bottom	1.2241065110261367e+02	1.5811431141451277e+02	1.3914090447619256e+02
1889.5                  	circle	1.3563442608947275e+01	6.6348642266977464e+01	4.4507122723299396e+01
1890                    	Top	1.2394992082641924e+02	1.5977290896872404e+02	1.3794400904431456e+02
1890                    	Bottom	1.2240769025129789e+02	1.5811691737500723e+02	1.3913707515031328e+02
1890                    	circle	1.4296277077212268e+01	6.6349015735247534e+01	4.4494360162494878e+01
1890.5                  	Top	1.2395334793816824e+02	1.5977040841864493e+02	1.3794494242246012e+02
1890.5                  	Bottom	1.2240527558965660e+02	1.5811870134843403e+02	1.3913585250189166e+02
1890.5                  	circle	1.5723436485750090e+01	6.6382599551205601e+01	4.4543593785227479e+01
1891                    	Top	1.2395607774310946e+02	1.5976569058070140e+02	1.3794261183726749e+02
1891                    	Bottom	1.2240487992839722e+02	1.5811916699975700e+02	1.3913767543612349e+02
1891                    	circle	1.7082868321776321e+01	6.6433903685414322e+01	4.4629793882309265e+01
1891.5                  	Top	1.2395705891931451e+02	1.5976086207238080e+02	1.3793837904646145e+02
1891.5                  	Bottom	1.2240622193282489e+02	1.5811767716820503e+02	1.3914178563594911e+02
1891.5                  	circle	1.7770977469680393e+01	6.6479623587481981e+01	4.4713927089172486e+01
1892                    	Top	1.2395575761640069e+02	1.5975805989268758e+02	1.3793405147676324e+02
1892                    	Bottom	1.2240879320101563e+02	1.5811505723926163e+02	1.3914620454193980e+02
1892                    	circle	1.7598520570976191e+01	6.6499651725072383e+01	4.4761995816423905e+01
1892.5                  	Top	1.2395262650296462e+02	1.5975873449197141e+02	1.3793151336391975e+02
1892.5                  	Bottom	1.2241165927769671e+02	1.5811270275881040e+02	1.3914903957736669e+02
1892.5                  	circle	1.6651039748595700e+01	6.6484331278142434e+01	4.4751313563996753e+01
1893                    	Top	1.2394939066118604e+02	1.5976252329805413e+02	1.3793218329668136e+02
1893                    	Bottom	1.2241320323901618e+02	1.5811133746351496e+02	1.3914888156320043e+02
1893                    	circle	1.5242764418472289e+01	6.6439535419210216e+01	4.4683163497221507e+01
